Obs,State,Date,Total Deposits,Total Assets
546,Minnesota,12/31/2021,51855.0,59153.0
547,Minnesota,12/31/2022,52230.0,60390.0
548,Minnesota,12/31/2023,53243.0,63622.0
549,Minnesota,12/31/2024,55689.0,65539.0
550,Mississippi,03/31/2019,70282.0,84957.0
551,Mississippi,03/31/2020,75125.0,93169.0
552,Mississippi,03/31/2021,91321.0,108346.0
553,Mississippi,03/31/2022,123084.0,142523.0
554,Mississippi,03/31/2023,122939.0,152474.0
555,Mississippi,03/31/2024,123892.0,149061.0
556,Mississippi,06/30/2019,70376.0,85965.0
557,Mississippi,06/30/2020,83431.0,100266.0
558,Mississippi,06/30/2021,93596.0,110835.0
559,Mississippi,06/30/2022,121846.0,141277.0
560,Mississippi,06/30/2023,122532.0,148094.0
561,Mississippi,06/30/2024,122686.0,148927.0
562,Mississippi,09/30/2019,72414.0,88822.0
563,Mississippi,09/30/2020,83837.0,100790.0
564,Mississippi,09/30/2021,94700.0,112080.0
565,Mississippi,09/30/2022,119374.0,141778.0
566,Mississippi,09/30/2023,122766.0,148207.0
567,Mississippi,09/30/2024,124067.0,150887.0
568,Mississippi,12/31/2019,72402.0,90607.0
569,Mississippi,12/31/2020,85822.0,102544.0
570,Mississippi,12/31/2021,114106.0,134471.0
571,Mississippi,12/31/2022,119478.0,144401.0
572,Mississippi,12/31/2023,122487.0,149156.0
573,Mississippi,12/31/2024,126695.0,148475.0
574,Missouri,03/31/2019,115501.0,138006.0
