Obs,State,Date,Equity Capital - All Institutions,Core Deposits to Total Liabilities - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - All Institutions,Leverage (Core Capital) Ratio - All Institutions,Net Charge-Offs - All Institutions,Net Income (year-to-date) - All Institutions,Other Real Estate Owned - All Institutions,Reserve Coverage Ratio - All Institutions,Provisions for Credit Losses - All Institutions,Total Assets - All Institutions,Total Deposits - All Institutions,Total Loans & Leases - All Institutions,Total Risk-Based Capital (Non CBLR Electors) - All Institutions
73,California,03/31/2013,38602.0,82.11,15.21,54.9,11.08,85.0,808.0,688.0,105.83,67.0,290374.0,232627.0,194125.0,16.17
74,California,06/30/2013,38578.0,81.61,15.46,55.12,11.24,142.0,1602.0,619.0,114.18,133.0,294075.0,234638.0,200254.0,15.91
75,California,09/30/2013,39041.0,81.69,15.55,54.69,10.92,219.0,2511.0,571.0,115.66,190.0,305502.0,244868.0,206857.0,15.53
76,California,12/31/2013,39465.0,81.46,15.74,54.85,10.76,298.0,3356.0,522.0,121.71,235.0,311208.0,248168.0,212621.0,15.29
77,California,03/31/2014,40551.0,81.92,15.54,54.45,10.77,77.0,755.0,508.0,125.63,28.0,323652.0,260003.0,218054.0,15.19
78,California,06/30/2014,42950.0,81.46,15.33,53.72,10.7,113.0,1481.0,461.0,132.22,66.0,334343.0,266162.0,224713.0,15.0
79,California,09/30/2014,43824.0,82.07,15.12,53.82,10.58,167.0,2364.0,399.0,146.41,125.0,343780.0,276319.0,231520.0,14.95
80,California,12/31/2014,44712.0,81.46,14.91,53.45,10.47,242.0,3232.0,380.0,174.63,239.0,355756.0,285639.0,240444.0,14.71
81,California,03/31/2015,46100.0,82.21,14.83,53.72,10.63,41.0,874.0,348.0,174.2,52.0,362999.0,291749.0,244300.0,14.64
82,California,06/30/2015,46832.0,82.17,14.69,53.6,10.63,44.0,1583.0,317.0,178.92,115.0,372060.0,299526.0,250114.0,14.64
83,California,09/30/2015,47727.0,82.62,14.55,53.76,10.39,125.0,2510.0,291.0,191.26,224.0,384175.0,311345.0,258482.0,14.44
84,California,12/31/2015,47578.0,81.64,14.24,53.54,10.21,147.0,3821.0,255.0,199.4,331.0,390687.0,314570.0,261182.0,14.21
85,California,03/31/2016,48770.0,83.07,14.31,54.08,10.22,57.0,1016.0,242.0,202.78,105.0,396424.0,321241.0,266199.0,14.18
86,California,06/30/2016,49982.0,81.83,14.5,54.1,10.3,126.0,2047.0,220.0,210.02,235.0,406672.0,325512.0,276483.0,14.08
87,California,09/30/2016,51423.0,82.43,14.87,54.43,10.23,249.0,3073.0,212.0,229.78,384.0,422646.0,342235.0,288507.0,14.15
88,California,12/31/2016,51813.0,81.68,14.89,54.7,10.1,348.0,4180.0,203.0,222.08,559.0,436143.0,352363.0,296838.0,14.01
89,California,03/31/2017,52788.0,82.52,14.98,55.29,10.15,70.0,1120.0,183.0,216.55,121.0,443554.0,361960.0,302050.0,14.21
90,California,06/30/2017,54016.0,81.52,15.21,55.54,10.07,185.0,2319.0,171.0,221.52,230.0,457851.0,369828.0,312098.0,14.07
91,California,09/30/2017,54786.0,81.39,15.39,55.87,9.92,228.0,3605.0,150.0,244.82,343.0,469679.0,381706.0,319981.0,13.98
92,California,12/31/2017,56207.0,81.26,15.58,56.43,9.95,308.0,4283.0,120.0,251.98,467.0,479177.0,388670.0,327814.0,13.94
93,California,03/31/2018,56591.0,81.09,15.79,56.69,10.01,72.0,1468.0,113.0,250.12,123.0,486375.0,395025.0,334505.0,14.0
94,California,06/30/2018,57792.0,80.26,16.06,56.97,10.11,153.0,3030.0,98.0,245.54,248.0,494950.0,400935.0,343377.0,13.99
